,Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,Turkey,United States,Japan
1987-04-01,384,0,0,139,0,0,217,0,2781,2335,0,2154,0,0,0,4,0,0,472,0,0,393,0,0,0,0,105,2999,0,0,0,7592,1780
1987-05-01,382,0,0,140,0,0,218,0,2778,2323,0,2227,0,0,0,4,0,0,472,0,0,387,0,0,0,0,102,2939,0,0,0,7535,1870
1987-06-01,381,0,0,139,0,0,217,0,2782,2311,0,2301,0,0,0,4,0,0,473,0,0,379,0,0,0,0,102,2905,0,0,0,7366,1810
1987-07-01,379,0,0,138,0,0,216,0,2802,2310,0,2291,0,0,0,4,0,0,474,0,0,369,0,0,0,0,100,2862,0,0,0,7235,1660
1987-08-01,374,0,0,138,0,0,215,0,2802,2301,0,2286,0,0,0,4,0,0,475,0,0,362,0,0,0,0,107,2816,0,0,0,7253,1680
1987-09-01,371,0,0,139,0,0,215,0,2808,2293,0,2287,0,0,0,4,0,0,476,0,0,358,0,0,0,0,87,2784,0,0,0,7143,1680
1987-10-01,370,0,0,140,0,0,215,0,2790,2308,0,2269,0,0,0,4,0,0,478,0,0,354,0,0,0,0,90,2726,0,0,0,7209,1660
1987-11-01,369,0,0,141,0,0,215,0,2773,2297,0,2257,0,0,0,4,0,0,479,0,0,348,0,0,0,0,87,2668,0,0,0,7013,1640
1987-12-01,366,0,0,141,0,0,215,0,2776,2280,0,2260,0,0,0,4,0,0,480,0,0,342,0,0,0,0,81,2637,0,0,0,6921,1630
1988-01-01,363,0,0,143,0,0,215,0,2776,2275,0,2266,0,0,0,4,0,0,481,0,0,335,0,0,0,123,92,2589,0,0,0,6985,1650
1988-02-01,360,0,0,145,0,0,215,0,2763,2256,0,2266,0,0,0,3,0,0,482,0,0,335,0,0,0,118,81,2548,0,0,0,6924,1650
1988-03-01,356,0,0,148,0,0,216,0,2752,2241,0,2271,0,0,0,3,0,0,482,0,0,336,0,0,0,115,86,2503,0,0,0,6854,1630
1988-04-01,352,0,0,151,0,0,215,0,2754,2256,0,2279,0,0,0,3,0,0,482,0,0,335,0,0,0,113,80,2475,0,0,0,6636,1560
1988-05-01,348,0,0,154,0,0,213,0,2763,2244,0,2273,0,0,0,3,0,0,482,0,0,328,0,0,0,112,85,2430,0,0,0,6758,1530
1988-06-01,342,0,0,158,0,0,212,0,2761,2232,0,2271,0,0,0,3,0,0,481,0,0,314,0,0,0,110,83,2396,0,0,0,6534,1490
1988-07-01,338,0,0,161,0,0,212,0,2749,2248,0,2278,0,0,0,3,0,0,479,0,0,301,0,0,0,107,85,2364,0,0,0,6587,1570
1988-08-01,333,0,0,164,0,0,211,0,2723,2238,0,2286,0,0,0,3,0,0,477,0,0,296,0,0,0,104,80,2344,0,0,0,6831,1580
1988-09-01,325,0,0,168,0,0,209,0,2673,2230,0,2278,0,0,0,3,0,0,475,0,0,298,0,0,0,101,81,2391,0,0,0,6631,1510
1988-10-01,319,0,0,172,0,0,207,0,2608,2258,0,2283,0,0,0,3,0,0,472,0,0,301,0,0,0,99,82,2274,0,0,0,6556,1490
1988-11-01,315,0,0,177,0,0,206,0,2574,2249,0,2302,0,0,0,3,0,0,469,0,0,301,0,0,0,96,78,2243,0,0,0,6533,1490
1988-12-01,312,0,0,182,0,0,203,0,2566,2237,0,2294,0,0,0,3,0,0,465,0,0,300,0,0,0,94,64,2199,0,0,0,6521,1470
1989-01-01,307,0,0,184,0,0,201,0,2553,2240,0,2290,0,0,0,3,0,0,461,0,0,298,0,0,0,92,69,2176,0,107,0,6733,1420
1989-02-01,302,0,0,186,0,0,199,0,2527,2229,0,2294,0,0,0,3,0,0,457,0,0,298,0,0,0,90,76,2141,0,110,0,6353,1450
1989-03-01,300,0,0,188,0,0,197,0,2499,2222,0,2287,0,0,0,3,0,0,453,0,0,298,0,0,0,87,72,2110,0,107,0,6165,1470
1989-04-01,296,0,0,190,0,0,195,0,2467,2228,0,2282,0,0,0,3,0,0,449,0,0,292,0,0,0,84,75,2056,0,112,0,6503,1470
1989-05-01,291,0,0,193,0,0,193,0,2436,2226,0,2290,0,0,0,3,0,0,446,0,0,289,0,0,0,80,71,2023,0,115,0,6363,1470
1989-06-01,287,0,0,194,0,0,192,0,2406,2223,0,2293,0,0,0,3,0,0,442,0,0,292,0,0,0,77,67,2004,0,118,0,6555,1400
1989-07-01,284,0,0,193,0,0,189,0,2377,2222,0,2293,0,0,0,3,0,0,438,0,0,291,0,0,0,76,62,2008,0,113,0,6479,1390
1989-08-01,280,0,0,194,0,0,187,0,2373,2221,0,2276,0,0,0,3,0,0,434,0,0,286,0,0,0,75,67,1991,0,118,0,6489,1410
1989-09-01,276,0,0,197,0,0,185,0,2349,2220,0,2245,0,0,0,3,0,0,431,0,0,279,0,0,0,74,69,1969,0,123,0,6629,1380
1989-10-01,271,0,0,198,0,0,184,0,2376,2223,0,2220,0,0,0,3,0,0,428,0,0,274,0,0,0,75,80,1952,0,126,0,6603,1390
1989-11-01,270,0,0,199,0,0,183,0,2387,2221,0,2197,0,0,0,3,0,0,425,0,0,276,0,0,0,75,70,1938,0,127,0,6715,1400
1989-12-01,268,0,0,198,0,0,181,0,2394,2214,0,2170,0,0,0,3,0,0,422,0,0,284,0,0,0,76,71,1942,0,125,0,6658,1340
1990-01-01,265,0,0,198,0,0,180,0,2350,2201,0,2145,0,0,0,3,0,0,419,0,0,288,0,0,0,77,71,1943,0,129,0,6711,1390
1990-02-01,262,0,0,200,0,0,179,0,2335,2191,0,2122,0,0,0,3,0,0,417,0,0,283,0,0,0,78,66,1944,0,128,0,6677,1380
1990-03-01,259,0,0,200,0,0,175,0,2315,2181,0,2093,0,0,0,3,0,0,414,0,0,272,0,0,0,79,65,1936,0,125,0,6612,1280
1990-04-01,257,0,0,201,0,0,173,0,2321,2176,0,2083,0,0,0,3,0,0,412,0,0,262,0,0,0,78,65,1940,0,121,0,6805,1330
1990-05-01,256,0,0,202,0,0,172,0,2317,2166,0,2099,0,0,0,3,0,0,410,0,0,262,0,0,0,75,77,1932,0,124,0,6740,1330
1990-06-01,256,0,0,203,0,0,173,0,2296,2155,0,2104,0,0,0,3,0,0,408,0,0,271,0,0,0,74,67,1929,0,127,0,6588,1370
1990-07-01,255,0,0,206,0,0,173,0,2271,2152,0,2082,0,0,0,3,0,0,406,0,0,274,0,0,0,74,78,1944,0,126,0,6934,1330
1990-08-01,252,0,0,207,0,0,174,0,2274,2143,0,2062,0,0,0,3,0,0,404,0,0,277,0,0,0,78,78,1953,0,124,0,7206,1290
1990-09-01,249,0,0,208,0,0,175,0,2264,2135,0,2067,0,0,0,2,0,0,402,0,0,277,0,0,0,83,89,1965,0,120,0,7372,1360
1990-10-01,249,0,0,209,0,0,176,0,2274,2142,0,2059,0,0,0,3,0,0,401,0,0,273,0,0,0,89,93,1989,0,122,0,7489,1400
1990-11-01,251,0,0,210,0,0,178,0,2270,2136,0,2054,0,0,0,3,0,0,399,0,0,269,0,0,0,95,107,2039,0,123,0,7751,1310
1990-12-01,251,0,0,211,0,0,180,0,2275,2131,0,2055,0,0,0,3,0,0,398,0,0,263,0,0,0,101,104,2108,0,126,0,7871,1300
1991-01-01,251,0,0,212,2054,0,183,0,2249,2136,0,2053,0,0,0,3,0,0,397,0,0,255,0,0,0,109,102,2144,0,124,0,7959,1300
1991-02-01,251,0,0,214,2058,0,186,0,2248,2136,0,2041,0,0,0,2,0,0,397,0,0,247,0,0,0,119,116,2203,0,124,0,8289,1320
1991-03-01,252,0,0,217,2065,0,190,0,2245,2142,0,2027,0,0,0,2,0,0,396,0,0,240,0,0,0,129,121,2306,0,126,0,8589,1400
1991-04-01,253,0,0,220,2078,0,193,0,2251,2166,0,2016,0,0,0,2,0,0,395,0,0,237,0,0,0,139,126,2387,0,126,0,8445,1390
1991-05-01,254,0,0,222,2099,0,195,0,2265,2180,0,2001,0,0,0,3,0,0,394,0,0,243,0,0,0,151,123,2441,0,121,0,8728,1330
1991-06-01,256,0,0,225,2133,0,197,0,2289,2196,0,1990,0,0,0,3,0,0,393,0,0,250,0,0,0,163,128,2463,0,124,0,8699,1380
1991-07-01,256,0,0,227,2173,0,200,0,2330,2226,0,2000,0,0,0,3,0,0,392,0,0,256,0,0,0,176,145,2516,0,127,0,8591,1380
1991-08-01,256,0,0,229,2214,0,201,0,2359,2246,0,2005,0,0,0,3,0,0,391,0,0,259,0,0,0,190,156,2551,0,132,0,8685,1390
1991-09-01,256,0,0,231,2252,0,202,0,2378,2268,0,2017,0,0,0,3,0,0,391,0,0,258,0,0,0,202,160,2551,0,127,0,8721,1380
1991-10-01,260,0,0,233,2285,0,202,0,2389,2303,0,2031,0,0,0,3,0,0,390,0,0,257,0,0,0,209,170,2543,0,132,0,8887,1320
1991-11-01,264,0,0,235,2313,0,203,0,2383,2324,0,2062,0,0,0,3,0,0,389,0,0,250,0,0,0,219,174,2566,0,139,0,8928,1360
1991-12-01,267,0,0,236,2335,0,204,0,2392,2344,0,2037,0,0,0,3,0,0,389,0,0,240,0,0,0,231,189,2577,0,145,0,9195,1380
1992-01-01,269,0,0,236,2357,0,204,0,2398,2361,0,2042,0,0,0,3,0,0,388,0,0,233,0,0,0,242,197,2606,0,140,0,9205,1400
1992-02-01,271,0,0,237,2382,0,205,0,2418,2378,0,2063,0,0,0,3,0,0,388,0,0,233,0,0,0,247,207,2596,0,138,0,9461,1340
1992-03-01,274,0,0,238,2414,0,207,0,2458,2396,0,2061,0,0,0,3,0,0,389,0,0,235,0,0,0,252,220,2587,0,134,0,9456,1380
1992-04-01,279,0,0,240,2455,0,208,0,2505,2402,0,2046,0,0,0,3,0,0,391,0,0,238,0,0,0,261,225,2639,0,140,0,9416,1370
1992-05-01,283,0,0,242,2501,0,207,0,2528,2419,0,2034,0,0,0,3,0,0,393,0,0,240,0,0,0,275,245,2642,0,139,0,9761,1390
1992-06-01,286,0,0,242,2548,0,206,0,2556,2436,0,2037,0,0,0,3,0,0,395,0,0,242,0,0,0,291,245,2712,0,141,0,10063,1380
1992-07-01,289,0,0,244,2596,0,209,0,2590,2440,0,2078,0,0,0,4,0,0,399,0,0,244,0,0,0,305,264,2718,0,140,0,9853,1410
1992-08-01,290,0,0,249,2643,0,212,0,2627,2457,0,2095,0,0,0,4,0,0,402,0,0,247,0,0,0,316,271,2722,0,141,0,9795,1430
1992-09-01,292,0,0,253,2687,0,213,0,2687,2476,0,2104,0,0,0,4,0,0,407,0,0,250,0,0,0,324,276,2754,0,142,0,9778,1460
1992-10-01,297,0,0,257,2730,0,213,0,2763,2489,0,2047,0,0,0,4,0,0,412,0,0,250,0,0,0,332,281,2815,0,144,0,9448,1450
1992-11-01,304,0,0,261,2770,0,214,0,2833,2508,0,2048,0,0,0,4,0,0,417,0,0,255,0,0,0,338,290,2847,0,143,0,9583,1510
1992-12-01,311,0,0,266,2807,0,215,0,2905,2525,0,2066,0,0,0,4,0,0,424,0,0,261,0,0,0,343,301,2874,0,141,0,9586,1540
1993-01-01,317,0,228,273,2844,0,216,0,2963,2535,0,2065,0,0,0,4,0,0,431,0,0,268,0,0,0,351,336,2906,0,140,0,9226,1520
1993-02-01,323,0,227,275,2882,0,217,0,3023,2553,0,2104,0,0,0,4,0,0,439,0,0,276,0,0,0,362,336,2913,0,141,0,9183,1550
1993-03-01,330,0,222,277,2921,0,217,0,3098,2572,0,2152,0,0,0,4,0,0,445,0,0,288,0,0,0,375,353,2906,0,145,0,9065,1540
1993-04-01,336,0,220,281,2959,0,216,0,3120,2602,0,2243,0,0,0,4,0,0,450,0,0,299,0,0,0,387,383,2853,0,145,0,9100,1530
1993-05-01,342,0,228,281,2998,0,217,0,3151,2623,0,2265,0,0,0,4,0,0,456,0,0,303,0,0,0,399,382,2849,0,141,0,9157,1660
1993-06-01,349,0,218,282,3036,0,216,0,3242,2642,0,2275,0,0,0,4,0,0,460,0,0,307,0,0,0,409,436,2860,0,142,0,9138,1650
1993-07-01,357,0,224,275,3074,0,215,0,3304,2669,0,2278,0,0,0,5,0,0,465,0,0,312,0,0,0,417,433,2832,0,142,0,8925,1650
1993-08-01,365,0,219,270,3110,0,215,0,3319,2688,0,2287,0,0,0,5,0,0,469,0,0,315,0,0,0,425,418,2829,0,146,0,8773,1660
1993-09-01,372,0,207,267,3146,0,215,0,3350,2707,0,2307,0,0,0,5,0,0,473,0,0,318,0,0,0,430,426,2825,0,145,0,8714,1700
1993-10-01,378,0,218,261,3181,0,214,0,3385,2738,0,2391,0,0,0,5,0,0,477,0,0,326,0,0,0,433,434,2822,0,144,0,8790,1770
1993-11-01,385,0,207,254,3216,0,214,0,3405,2755,0,2396,0,0,0,5,0,0,479,0,0,332,0,0,0,434,429,2824,0,137,0,8566,1820
1993-12-01,392,0,218,246,3254,0,215,0,3439,2769,0,2411,0,0,0,5,0,0,481,0,0,341,0,0,0,433,430,2808,0,129,0,8534,1880
1994-01-01,397,0,211,238,3292,0,214,0,3480,2788,0,2374,0,0,0,5,0,0,482,0,0,352,0,0,0,433,435,2766,0,128,0,8615,1840
1994-02-01,401,0,216,232,3327,0,212,0,3480,2793,0,2381,0,0,0,5,0,0,484,0,0,356,0,0,0,406,429,2742,0,129,0,8566,1910
1994-03-01,404,0,216,226,3351,0,212,0,3471,2793,0,2392,0,0,0,6,0,0,488,0,0,362,0,0,0,411,418,2705,0,128,0,8478,1920
1994-04-01,407,0,224,220,3361,0,210,0,3482,2791,0,2406,0,0,0,6,0,0,494,0,0,368,0,0,0,417,407,2667,0,131,0,8307,1890
1994-05-01,409,0,207,216,3353,0,208,0,3477,2783,0,2416,0,0,0,6,0,0,501,0,0,373,0,0,0,423,402,2670,0,133,0,7962,1860
1994-06-01,409,0,231,212,3340,0,206,0,3477,2773,0,2429,0,0,0,6,0,0,508,0,0,376,0,0,0,424,424,2640,0,131,0,7920,1890
1994-07-01,409,0,220,209,3323,0,204,0,3456,2761,0,2355,0,0,0,5,0,0,516,0,0,378,0,0,0,418,413,2616,0,128,0,7907,1940
1994-08-01,409,0,225,206,3304,0,201,0,3455,2750,0,2363,0,0,0,5,0,0,525,0,0,377,0,0,0,409,412,2571,0,126,0,7975,1990
1994-09-01,409,0,233,204,3286,0,198,0,3449,2740,0,2372,0,0,0,5,0,0,535,0,0,381,0,0,0,400,397,2537,0,129,0,7745,1980
1994-10-01,408,0,224,201,3267,0,195,0,3430,2733,0,2525,0,0,0,5,0,0,546,0,0,384,0,0,0,392,399,2495,0,129,0,7639,2000
1994-11-01,407,0,216,199,3245,0,192,0,3421,2722,0,2534,0,0,0,5,0,0,558,0,0,386,0,0,0,385,398,2475,0,130,0,7366,1920
1994-12-01,406,0,226,197,3221,0,188,0,3409,2710,0,2546,0,0,0,5,0,0,571,0,0,385,0,0,0,379,397,2437,0,131,0,7233,1890
1995-01-01,406,376,212,194,3196,0,184,0,3367,2702,0,2556,0,0,0,5,380,7,585,152,2330,391,1401,65,311,374,400,2432,0,130,0,7335,1960
1995-02-01,405,367,216,192,3173,0,182,0,3338,2695,0,2563,0,0,0,5,382,7,598,148,2312,391,1328,65,305,369,389,2440,0,130,0,7169,1970
1995-03-01,404,358,220,189,3146,0,179,0,3283,2696,0,2576,0,0,0,5,385,7,607,148,2309,391,1305,65,301,365,383,2427,0,128,0,7161,2070
1995-04-01,403,349,212,189,3142,0,177,0,3232,2728,0,2516,0,0,0,5,389,7,615,152,2301,391,1283,66,298,364,389,2397,0,124,0,7619,2070
1995-05-01,402,342,211,188,3151,0,176,0,3222,2735,0,2522,0,0,0,5,389,7,621,155,2289,388,1282,65,296,366,383,2387,0,121,0,7474,2000
1995-06-01,402,338,221,188,3169,0,176,0,3248,2739,0,2529,0,0,0,5,386,7,625,159,2340,384,1271,65,293,370,385,2382,0,119,0,7417,2070
1995-07-01,404,337,210,187,3193,0,175,0,3274,2766,0,2539,0,0,0,5,389,7,627,161,2310,382,1258,66,289,372,382,2374,0,117,0,7502,2090
1995-08-01,406,335,208,188,3219,0,175,0,3301,2773,0,2542,0,0,0,5,392,7,628,163,2218,379,1234,67,287,373,386,2379,0,116,0,7530,2150
1995-09-01,409,332,201,187,3244,0,175,0,3317,2784,0,2547,0,0,0,5,394,7,628,166,2332,382,1203,67,285,373,386,2368,0,114,0,7500,2160
1995-10-01,412,328,196,186,3267,0,176,0,3296,2826,0,2529,0,0,0,5,398,7,627,169,2299,390,1167,67,282,375,397,2354,0,114,0,7333,2140
1995-11-01,414,325,197,186,3288,0,177,0,3292,2828,0,2532,0,0,0,5,399,7,623,171,2133,394,1125,68,280,379,399,2304,0,110,0,7411,2260
1995-12-01,414,324,188,186,3306,0,177,0,3259,2816,0,2537,0,0,0,5,397,7,617,173,2203,394,1084,68,276,381,400,2316,0,113,0,7427,2280
1996-01-01,417,325,188,186,3324,0,177,0,3253,2801,0,2515,0,0,0,5,409,7,610,176,2275,395,1047,67,273,378,389,2298,0,107,0,7493,2330
1996-02-01,416,323,189,187,3343,0,177,0,3231,2795,0,2517,0,0,0,5,404,8,604,180,2296,395,1024,67,273,375,411,2281,0,112,0,7293,2230
1996-03-01,412,320,194,189,3363,0,176,0,3220,2811,0,2521,0,0,0,5,401,8,597,181,2298,398,987,66,272,343,406,2287,0,111,0,7318,2160
1996-04-01,410,317,194,188,3387,0,176,0,3204,2856,0,2593,0,0,0,5,398,8,591,180,2303,403,945,65,270,348,420,2270,0,111,0,7388,2250
1996-05-01,406,314,202,183,3414,0,176,0,3207,2877,0,2595,0,0,0,5,397,8,585,179,2299,402,878,65,268,356,422,2270,0,108,0,7489,2300
1996-06-01,400,313,204,181,3445,0,175,0,3242,2882,0,2596,0,0,0,5,398,8,578,178,2270,398,844,65,268,365,427,2243,0,105,0,7081,2280
1996-07-01,396,319,197,182,3479,0,175,0,3232,2872,0,2543,0,0,0,5,394,8,572,177,2240,393,798,63,268,371,423,2222,0,107,0,7312,2280
1996-08-01,396,325,207,177,3513,0,175,0,3184,2865,0,2544,0,0,0,5,388,8,565,176,2222,391,779,63,268,373,442,2217,0,107,0,6918,2210
1996-09-01,393,331,207,170,3548,0,173,0,3189,2859,0,2547,0,0,0,5,384,8,559,175,2193,388,745,64,268,370,434,2202,0,105,0,7011,2220
1996-10-01,389,343,199,166,3583,0,170,0,3158,2851,0,2561,0,0,0,5,378,8,552,173,2161,387,715,64,268,365,436,2177,0,103,0,7020,2290
1996-11-01,387,357,211,163,3619,0,167,0,3128,2851,0,2562,0,0,0,5,374,9,545,172,2132,386,685,64,268,361,439,2156,0,105,0,7200,2210
1996-12-01,387,367,221,159,3656,0,165,0,3096,2854,0,2567,0,0,0,5,372,9,539,172,2096,385,665,64,269,338,451,2102,0,104,0,7235,2270
1997-01-01,385,375,217,157,3693,0,163,0,3055,2863,0,2577,0,0,0,5,360,9,532,173,2022,389,666,64,271,335,442,2057,0,103,0,7173,2260
